2025-01-04 00:00:00:INFO:Performing scheduled database backup.
2025-01-04 00:00:00:INFO:Deleting oldest backup /home/farrit/spoolman_data/backups/spoolman.db.5
2025-01-04 00:00:00:INFO:Backing up SQLite database to /home/farrit/spoolman_data/backups/spoolman.db
2025-01-04 00:00:00:INFO:Copied 1 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 2 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 3 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 4 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 5 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 6 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 7 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 8 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 9 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 10 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 11 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 12 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 13 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 14 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 15 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 16 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 17 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 18 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 19 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 20 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 21 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 22 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 23 of 24 pages.
2025-01-04 00:00:00:INFO:Copied 24 of 24 pages.
2025-01-04 00:00:00:INFO:Backup complete.
2025-01-04 00:50:25:INFO:Syncing external DB.
2025-01-04 00:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 00:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 00:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 01:50:25:INFO:Syncing external DB.
2025-01-04 01:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 01:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 01:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 02:50:25:INFO:Syncing external DB.
2025-01-04 02:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 02:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 02:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 03:50:25:INFO:Syncing external DB.
2025-01-04 03:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 03:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 03:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 04:50:25:INFO:Syncing external DB.
2025-01-04 04:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 04:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 04:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 05:50:25:INFO:Syncing external DB.
2025-01-04 05:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 05:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 05:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 06:50:25:INFO:Syncing external DB.
2025-01-04 06:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 06:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 06:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 07:50:25:INFO:Syncing external DB.
2025-01-04 07:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 07:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 07:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 08:50:25:INFO:Syncing external DB.
2025-01-04 08:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 08:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 08:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 09:50:25:INFO:Syncing external DB.
2025-01-04 09:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 09:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 09:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 10:50:25:INFO:Syncing external DB.
2025-01-04 10:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/filaments.json "HTTP/1.1 200 OK"
2025-01-04 10:50:25:INFO:HTTP Request: GET https://donkie.github.io/SpoolmanDB/materials.json "HTTP/1.1 200 OK"
2025-01-04 10:50:25:INFO:External DB synced. Filaments: 4535, Materials: 29
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,1
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,2
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,3
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,4
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,6
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,11
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,8
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,15
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,12
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,16
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,17
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,18
2025-01-04 11:25:57:INFO:Client 192.168.86.26 is now listening on pool spool,19
2025-01-04 11:25:58:INFO:Client 192.168.86.26 is now listening on pool spool,20
2025-01-04 11:25:59:INFO:Client 192.168.86.26 is now listening on pool spool,21
2025-01-04 11:25:59:INFO:Client 192.168.86.26 is now listening on pool spool,22
2025-01-04 11:26:02:INFO:Client 192.168.86.26 is now listening on pool spool,23
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,1
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,2
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,3
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,4
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,6
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,11
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,8
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,19
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,12
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,15
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,16
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,21
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,20
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,17
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,18
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,22
2025-01-04 11:26:04:INFO:Client 192.168.86.26 has stopped listening on pool spool,23
2025-01-04 11:26:04:INFO:Client 192.168.86.26 is now listening on pool filament
2025-01-04 11:26:04:INFO:Client 192.168.86.26 is now listening on pool filament,1
2025-01-04 11:26:04:INFO:Client 192.168.86.26 is now listening on pool filament,2
2025-01-04 11:26:04:INFO:Client 192.168.86.26 is now listening on pool filament,3
2025-01-04 11:26:04:INFO:Client 192.168.86.26 is now listening on pool filament,4
2025-01-04 11:26:04:INFO:Client 192.168.86.26 is now listening on pool filament,5
2025-01-04 11:26:04:INFO:Client 192.168.86.26 is now listening on pool filament,6
2025-01-04 11:26:04:INFO:Client 192.168.86.26 is now listening on pool filament,7
2025-01-04 11:26:05:INFO:Client 192.168.86.26 is now listening on pool filament,8
2025-01-04 11:26:05:INFO:Client 192.168.86.26 is now listening on pool filament,10
2025-01-04 11:26:05:INFO:Client 192.168.86.26 is now listening on pool filament,9
2025-01-04 11:26:05:INFO:Client 192.168.86.26 is now listening on pool filament,11
2025-01-04 11:26:05:INFO:Client 192.168.86.26 is now listening on pool filament,12
2025-01-04 11:26:05:INFO:Client 192.168.86.26 is now listening on pool filament,13
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,3
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,1
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,2
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,4
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,11
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,9
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,8
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,10
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,5
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,7
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,6
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,12
2025-01-04 11:26:05:INFO:Client 192.168.86.26 has stopped listening on pool filament,13
2025-01-04 11:27:37:INFO:Client 192.168.86.26 is now listening on pool filament
2025-01-04 11:27:37:INFO:Client 192.168.86.26 is now listening on pool filament,1
2025-01-04 11:27:37:INFO:Client 192.168.86.26 is now listening on pool filament,2
2025-01-04 11:27:37:INFO:Client 192.168.86.26 is now listening on pool filament,3
2025-01-04 11:27:37:INFO:Client 192.168.86.26 is now listening on pool filament,4
2025-01-04 11:27:37:INFO:Client 192.168.86.26 is now listening on pool filament,1
2025-01-04 11:27:37:INFO:Client 192.168.86.26 is now listening on pool filament,2
2025-01-04 11:27:37:INFO:Client 192.168.86.26 is now listening on pool filament,3
2025-01-04 11:27:37:INFO:Client 192.168.86.26 is now listening on pool filament,4
2025-01-04 11:27:37:INFO:Client 192.168.86.26 has stopped listening on pool filament,1
2025-01-04 11:27:37:INFO:Client 192.168.86.26 has stopped listening on pool filament,2
2025-01-04 11:27:37:INFO:Client 192.168.86.26 has stopped listening on pool filament,3
2025-01-04 11:27:37:INFO:Client 192.168.86.26 has stopped listening on pool filament,4
2025-01-04 11:27:38:INFO:Client 192.168.86.26 is now listening on pool filament,5
2025-01-04 11:27:38:INFO:Client 192.168.86.26 is now listening on pool filament,6
2025-01-04 11:27:38:INFO:Client 192.168.86.26 is now listening on pool filament,13
2025-01-04 11:27:38:INFO:Client 192.168.86.26 is now listening on pool filament,8
2025-01-04 11:27:38:INFO:Client 192.168.86.26 is now listening on pool filament,7
2025-01-04 11:27:40:INFO:Client 192.168.86.26 is now listening on pool filament,14
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,6
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,1
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,2
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,14
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,3
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,13
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,4
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,7
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,8
2025-01-04 11:27:41:INFO:Client 192.168.86.26 has stopped listening on pool filament,5
2025-01-04 11:27:41:INFO:Client 192.168.86.26 is now listening on pool filament,9
2025-01-04 11:27:41:INFO:Client 192.168.86.26 is now listening on pool filament,11
2025-01-04 11:27:41:INFO:Client 192.168.86.26 is now listening on pool spool
2025-01-04 11:27:41:INFO:Client 192.168.86.26 is now listening on pool spool,1
2025-01-04 11:27:41:INFO:Client 192.168.86.26 is now listening on pool filament,12
2025-01-04 11:27:41:INFO:Client 192.168.86.26 is now listening on pool spool,3
